ArrivalStateNum,AlarmsArrivalNum,WarningsArrivalNum,DepartureStateNum,AlarmsDepartureNum,WarningsDepartureNum,val_byp_ep_inprmsphsab,val_byp_freq_inp,val_sys_freq_outnom,val_sys_ap_out,val_sys_ec_outrmsphsa,val_sys_ep_inpnom,val_sys_ep_inprmsphsab,val_sys_ep_outnom,val_sys_ep_outrmsphsab,val_sys_freq_inp,val_sys_freq_inpnom,val_sys_freq_out,val_sys_va_outrated,val_sys_w_outrated
0,0,0,0,0,0,208.4,60,60,0,0,208,208.4,240,240,60,60,60,15,14
0,0,0,0,0,0,211.1,60,60,1.98,9.6,208,211.1,208,204.7,60,60,60,12,11
1,1,1,0,0,0,207,59.98,60,3.5,16.6,208,207,208,204.3,59.98,60,59.95,12,11
0,0,0,0,0,0,208,60,60,3.12,15,208,208,240,240,60,60,60,15,14
0,0,0,0,0,0,210.4,60,60,2.49,11.6,208,210.4,208,206.9,60,60,60,12,11
0,0,0,0,0,0,210.6,60,60,2.94,12,208,210.6,208,204.3,60,60,60,12,11
0,1,1,0,0,0,201.6,59.95,60,3.65,14.1,208,201.6,208,208.4,59.95,60,59.95,15,14
0,0,0,0,0,0,199.9,60,60,5.42,25.3,208,199.9,208,209,60,60,60,15,14
0,1,1,0,0,0,243.2,60,60,1.97,8.2,240,243.2,240,241.1,59.98,60,60,10,9
0,0,0,0,0,0,209.3,59.98,60,4.57,20.9,208,209.3,208,208.8,59.98,60,59.98,12,11
0,1,1,0,0,0,205.9,59.95,60,6.13,27.5,208,206.4,208,209,59.95,60,59.95,12,11
0,1,1,0,0,0,202.5,59.98,60,3.99,19,208,202.8,208,207.5,59.98,60,59.98,15,14
0,1,1,0,0,0,202.8,59.98,60,3.76,18.6,208,202.5,208,206.9,59.98,60,59.98,12,11
0,1,1,0,0,0,199.6,59.98,60,4.23,19.8,208,199.9,208,208.4,59.98,60,59.98,12,10
0,1,1,0,0,0,199.4,59.98,60,2.13,9.9,208,199.2,208,208.8,59.98,60,59.98,12,11
0,0,0,0,0,0,211.3,60,60,2.39,11.3,208,211.3,208,208.8,60,60,60,15,14
0,1,1,0,0,0,200.3,59.95,60,2.43,11.4,208,199.4,208,209,59.95,60,59.95,12,11
0,1,1,0,0,0,209.3,59.98,60,3.5,16.8,208,210.2,208,209.4,59.98,60,59.98,15,14
0,1,1,0,0,0,205.7,59.98,60,4.92,23.2,208,205.5,240,209.6,59.98,60,59.98,12,9
0,1,1,0,0,0,204.6,59.98,60,0,0,208,204.8,240,208.6,59.98,60,59.98,15,14
0,1,1,0,0,0,201.6,59.95,60,4.52,20.6,208,201.4,208,208.8,59.95,60,59.98,12,11
0,0,0,0,0,0,210.4,60,60,4.9,22,208,210.4,208,204.7,60,60,60,12,11
0,1,1,0,0,0,211.1,59.98,60,0,0,208,210.6,208,209,59.98,60,60,10,9
0,1,1,0,0,0,197.4,59.95,60,4.4,16.7,208,197.2,208,207.7,59.95,60,59.95,12,11
0,1,1,0,0,0,205.2,59.98,60,5.66,27.3,208,205.2,208,208.2,59.98,60,59.98,12,11
0,1,1,0,0,0,207,59.95,60,1.13,4.7,208,207,208,211,59.98,60,59.98,5,4
0,1,1,0,0,0,207.7,60,60,3.54,17,208,207.5,208,204.7,60.03,60,59.98,12,11
0,1,1,0,0,0,243.4,59.98,60,5,5,240,243.2,240,241.8,59.95,60,59.98,10,9
0,1,1,0,0,0,229.3,59.95,60,2.8,12.9,240,229.5,240,240.4,59.95,60,59.95,5,4
0,1,1,0,0,0,210.4,59.98,60,3.22,15.7,208,210.4,208,207.7,59.98,60,59.98,12,9
0,0,0,0,0,0,207.3,60,60,1.96,9.1,208,207,208,209.2,60,60,60,12,11
1,1,1,0,0,0,218.7,60,60,3.6,16.7,208,218.9,208,205.1,60,60,59.98,12,11
0,1,1,0,0,0,205.5,59.95,60,2.59,12.3,208,205.7,208,207.7,59.95,60,59.98,12,11
1,1,1,0,0,0,209.5,59.98,60,3.39,15.9,208,209.3,208,206.9,59.98,60,60,12,11
0,1,1,0,0,0,203.7,59.95,60,4.34,20.9,208,203.7,208,209.4,59.95,60,59.95,12,11
0,1,1,0,0,0,212.9,59.95,60,0,0,208,213.1,208,213.1,59.98,60,59.98,15,15
0,1,1,0,0,0,209.1,59.95,60,2.43,11.5,208,209.1,208,207.7,59.95,60,59.95,12,11
0,0,0,0,0,0,207.3,60,60,3.21,15.3,208,207.3,208,208.4,60,60,60,15,14
